"GEO_ID","NAME","H1_001N","H1_002N","H1_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant",
"0400000US17","Illinois","5426429","4998395","428034",
"1400000US17001000100","Census Tract 1, Adams County, Illinois","2315","2177","138",
"1400000US17001000201","Census Tract 2.01, Adams County, Illinois","982","917","65",
"1400000US17001000202","Census Tract 2.02, Adams County, Illinois","1125","1023","102",
"1400000US17001000400","Census Tract 4, Adams County, Illinois","1686","1406","280",
"1400000US17001000500","Census Tract 5, Adams County, Illinois","912","763","149",
"1400000US17001000600","Census Tract 6, Adams County, Illinois","1788","1544","244",
"1400000US17001000700","Census Tract 7, Adams County, Illinois","1016","823","193",
"1400000US17001000800","Census Tract 8, Adams County, Illinois","1221","1018","203",
"1400000US17001000900","Census Tract 9, Adams County, Illinois","1293","1117","176",
"1400000US17001001001","Census Tract 10.01, Adams County, Illinois","1536","1410","126",
"1400000US17001001002","Census Tract 10.02, Adams County, Illinois","1403","1286","117",
"1400000US17001001100","Census Tract 11, Adams County, Illinois","3606","3428","178",
"1400000US17001010100","Census Tract 101, Adams County, Illinois","1925","1738","187",
"1400000US17001010200","Census Tract 102, Adams County, Illinois","1633","1461","172",
"1400000US17001010301","Census Tract 103.01, Adams County, Illinois","1187","1045","142",
"1400000US17001010302","Census Tract 103.02, Adams County, Illinois","1283","1172","111",
"1400000US17001010400","Census Tract 104, Adams County, Illinois","1448","1377","71",
"1400000US17001010500","Census Tract 105, Adams County, Illinois","1416","1317","99",
"1400000US17001010600","Census Tract 106, Adams County, Illinois","2460","2291","169",
"1400000US17003957600","Census Tract 9576, Alexander County, Illinois","988","818","170",
"1400000US17003957700","Census Tract 9577, Alexander County, Illinois","794","650","144",
"1400000US17003957800","Census Tract 9578, Alexander County, Illinois","616","467","149",
"1400000US17003957900","Census Tract 9579, Alexander County, Illinois","548","449","99",
"1400000US17005951200","Census Tract 9512, Bond County, Illinois","1442","1276","166",
"1400000US17005951300","Census Tract 9513, Bond County, Illinois","2279","2026","253",
"1400000US17005951400","Census Tract 9514, Bond County, Illinois","1313","1210","103",
"1400000US17005951500","Census Tract 9515, Bond County, Illinois","1824","1652","172",
"1400000US17007010101","Census Tract 101.01, Boone County, Illinois","1631","1554","77",
"1400000US17007010102","Census Tract 101.02, Boone County, Illinois","1554","1438","116",
"1400000US17007010200","Census Tract 102, Boone County, Illinois","2274","2123","151",
"1400000US17007010300","Census Tract 103, Boone County, Illinois","2574","2460","114",
"1400000US17007010400","Census Tract 104, Boone County, Illinois","2514","2414","100",
"1400000US17007010501","Census Tract 105.01, Boone County, Illinois","1684","1598","86",
"1400000US17007010502","Census Tract 105.02, Boone County, Illinois","2195","2115","80",
"1400000US17007010601","Census Tract 106.01, Boone County, Illinois","1493","1397","96",
"1400000US17007010603","Census Tract 106.03, Boone County, Illinois","2218","2134","84",
"1400000US17007010604","Census Tract 106.04, Boone County, Illinois","2020","1876","144",
"1400000US17009970400","Census Tract 9704, Brown County, Illinois","1238","1020","218",
"1400000US17009970500","Census Tract 9705, Brown County, Illinois","1092","939","153",
"1400000US17011964700","Census Tract 9647, Bureau County, Illinois","1362","1213","149",
"1400000US17011964800","Census Tract 9648, Bureau County, Illinois","1484","1321","163",
"1400000US17011964900","Census Tract 9649, Bureau County, Illinois","1284","1161","123",
"1400000US17011965000","Census Tract 9650, Bureau County, Illinois","1624","1428","196",
"1400000US17011965100","Census Tract 9651, Bureau County, Illinois","1893","1778","115",
"1400000US17011965200","Census Tract 9652, Bureau County, Illinois","1627","1485","142",
"1400000US17011965300","Census Tract 9653, Bureau County, Illinois","1562","1447","115",
"1400000US17011965400","Census Tract 9654, Bureau County, Illinois","1822","1676","146",
"1400000US17011965500","Census Tract 9655, Bureau County, Illinois","1606","1465","141",
