"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"P4_001N"," !!Total:"
"P4_002N"," !!Total:!!Hispanic or Latino"
"P4_003N"," !!Total:!!Not Hispanic or Latino:"
"P4_004N"," !!Total:!!Not Hispanic or Latino:!!Population of one race:"
"P4_005N"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!White alone"
"P4_006N"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Black or African American alone"
"P4_007N"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!American Indian and Alaska Native alone"
"P4_008N"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Asian alone"
"P4_009N"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone"
"P4_010N"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Some Other Race alone"
"P4_011N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:"
"P4_012N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:"
"P4_013N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Black or African American"
"P4_014N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native"
"P4_015N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Asian"
"P4_016N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander"
"P4_017N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Some Other Race"
"P4_018N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native"
"P4_019N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian"
"P4_020N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander"
"P4_021N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race"
"P4_022N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian"
"P4_023N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"P4_024N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race"
"P4_025N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander"
"P4_026N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Asian; Some Other Race"
"P4_027N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Native Hawaiian and Other Pacific Islander; Some Other Race"
"P4_028N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:"
"P4_029N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Black or African American; American Indian and Alaska Native"
"P4_030N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Asian"
"P4_031N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander"
"P4_032N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Some Other Race"
"P4_033N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Asian"
"P4_034N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"P4_035N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Some Other Race"
"P4_036N"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Asian; Native Hawaiian and Other Pacific Islander"
