"GEO_ID","NAME","P5_001N","P5_002N","P5_003N","P5_004N","P5_005N","P5_006N","P5_007N","P5_008N","P5_009N","P5_010N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Institutionalized population:"," !!Total:!!Institutionalized population:!!Correctional facilities for adults"," !!Total:!!Institutionalized population:!!Juvenile facilities"," !!Total:!!Institutionalized population:!!Nursing facilities/Skilled-nursing facilities"," !!Total:!!Institutionalized population:!!Other institutional facilities"," !!Total:!!Noninstitutionalized population:"," !!Total:!!Noninstitutionalized population:!!College/University student housing"," !!Total:!!Noninstitutionalized population:!!Military quarters"," !!Total:!!Noninstitutionalized population:!!Other noninstitutional facilities",
"0400000US17","Illinois","275365","145668","59075","2530","81485","2578","129697","83220","11424","35053",
"1400000US17001000100","Census Tract 1, Adams County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17001000201","Census Tract 2.01, Adams County, Illinois","19","0","0","0","0","0","19","0","0","19",
"1400000US17001000202","Census Tract 2.02, Adams County, Illinois","488","0","0","0","0","0","488","473","0","15",
"1400000US17001000400","Census Tract 4, Adams County, Illinois","417","348","0","0","348","0","69","0","0","69",
"1400000US17001000500","Census Tract 5, Adams County, Illinois","73","73","0","0","68","5","0","0","0","0",
"1400000US17001000600","Census Tract 6, Adams County, Illinois","24","16","0","16","0","0","8","0","0","8",
"1400000US17001000700","Census Tract 7, Adams County, Illinois","76","76","76","0","0","0","0","0","0","0",
"1400000US17001000800","Census Tract 8, Adams County, Illinois","120","120","0","0","120","0","0","0","0","0",
"1400000US17001000900","Census Tract 9, Adams County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17001001001","Census Tract 10.01, Adams County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17001001002","Census Tract 10.02, Adams County, Illinois","194","181","0","0","181","0","13","13","0","0",
"1400000US17001001100","Census Tract 11, Adams County, Illinois","61","42","0","0","42","0","19","0","0","19",
"1400000US17001010100","Census Tract 101, Adams County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17001010200","Census Tract 102, Adams County, Illinois","103","103","0","0","103","0","0","0","0","0",
"1400000US17001010301","Census Tract 103.01, Adams County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17001010302","Census Tract 103.02, Adams County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17001010400","Census Tract 104, Adams County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17001010500","Census Tract 105, Adams County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17001010600","Census Tract 106, Adams County, Illinois","39","3","0","3","0","0","36","0","0","36",
"1400000US17003957600","Census Tract 9576, Alexander County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17003957700","Census Tract 9577, Alexander County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17003957800","Census Tract 9578, Alexander County, Illinois","6","0","0","0","0","0","6","0","0","6",
"1400000US17003957900","Census Tract 9579, Alexander County, Illinois","73","58","0","0","58","0","15","0","0","15",
"1400000US17005951200","Census Tract 9512, Bond County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17005951300","Census Tract 9513, Bond County, Illinois","2361","1437","1363","0","74","0","924","892","0","32",
"1400000US17005951400","Census Tract 9514, Bond County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17005951500","Census Tract 9515, Bond County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17007010101","Census Tract 101.01, Boone County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17007010102","Census Tract 101.02, Boone County, Illinois","50","50","50","0","0","0","0","0","0","0",
"1400000US17007010200","Census Tract 102, Boone County, Illinois","86","86","0","0","86","0","0","0","0","0",
"1400000US17007010300","Census Tract 103, Boone County, Illinois","51","51","0","0","51","0","0","0","0","0",
"1400000US17007010400","Census Tract 104, Boone County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17007010501","Census Tract 105.01, Boone County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17007010502","Census Tract 105.02, Boone County, Illinois","76","76","0","0","76","0","0","0","0","0",
"1400000US17007010601","Census Tract 106.01, Boone County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17007010603","Census Tract 106.03, Boone County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17007010604","Census Tract 106.04, Boone County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17009970400","Census Tract 9704, Brown County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17009970500","Census Tract 9705, Brown County, Illinois","1706","1690","1607","0","53","30","16","0","0","16",
"1400000US17011964700","Census Tract 9647, Bureau County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17011964800","Census Tract 9648, Bureau County, Illinois","40","40","0","0","40","0","0","0","0","0",
"1400000US17011964900","Census Tract 9649, Bureau County, Illinois","4","0","0","0","0","0","4","0","0","4",
"1400000US17011965000","Census Tract 9650, Bureau County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17011965100","Census Tract 9651, Bureau County, Illinois","91","91","0","0","91","0","0","0","0","0",
"1400000US17011965200","Census Tract 9652, Bureau County, Illinois","60","0","0","0","0","0","60","42","0","18",
"1400000US17011965300","Census Tract 9653, Bureau County, Illinois","104","94","0","2","92","0","10","0","0","10",
"1400000US17011965400","Census Tract 9654, Bureau County, Illinois","127","120","25","0","95","0","7","0","0","7",
"1400000US17011965500","Census Tract 9655, Bureau County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17011965600","Census Tract 9656, Bureau County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17013951200","Census Tract 9512, Calhoun County, Illinois","86","73","0","0","73","0","13","0","0","13",
"1400000US17013951300","Census Tract 9513, Calhoun County, Illinois","9","0","0","0","0","0","9","0","0","9",
"1400000US17015960100","Census Tract 9601, Carroll County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17015960200","Census Tract 9602, Carroll County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17015960300","Census Tract 9603, Carroll County, Illinois","74","74","0","0","74","0","0","0","0","0",
"1400000US17015960400","Census Tract 9604, Carroll County, Illinois","56","53","3","0","50","0","3","0","0","3",
"1400000US17015960500","Census Tract 9605, Carroll County, Illinois","7","0","0","0","0","0","7","0","0","7",
"1400000US17015960600","Census Tract 9606, Carroll County, Illinois","1082","1082","1082","0","0","0","0","0","0","0",
